id,title,description_nl,description_fr,description_de,description_en,type,metadata_created,metadata_modified,language,publisher_email,temporal_start,regions_covered,theme,organization_id,organization_name,owner_org,license_id,license_url,agreement_declaration,url,format,frequency,qual_ass_nl,qual_ass_fr,qual_ass_de,qual_ass_en
0d555891-84db-453a-9002-bc1ea68b769d,TEC NeTEx,,"Contient les données théoriques du TEC (arrêts, lignes, horaires...)",,,dataset,2021-06-02T13:40:52.932015,2021-06-02T13:54:37.576864,http://publications.europa.eu/resource/authority/language/FRA,donnees@letec.be,2021-06-02T15:29:00,http://data.europa.eu/nuts/code/BE3,http://publications.europa.eu/resource/authority/data-theme/TRAN,c34fa256-6ece-465f-b074-7b5b161bb9b8,tec,c34fa256-6ece-465f-b074-7b5b161bb9b8,notspecified,,Y,https://cdn.stoomlink.io/netex/epip-TEC.xml,XML,http://publications.europa.eu/resource/authority/frequency/MONTHLY,,,,
df4859c0-cb8e-49d5-9340-79bb1df92022,park and ride brussels,park and ride Brussel,park and ride Bruxelles,,park and ride Brussels,dataset,2021-06-01T08:12:56.581202,2021-06-01T08:30:46.219416,http://publications.europa.eu/resource/authority/language/FRA,data@parking.brussels,2021-06-01T09:26:00,http://data.europa.eu/nuts/code/BE1,http://publications.europa.eu/resource/authority/data-theme/TRAN,b6bc5309-3140-452e-9c1f-367338a1fc26,parking-brussels,b6bc5309-3140-452e-9c1f-367338a1fc26,cc-zero,http://www.opendefinition.org/licenses/cc-zero,Y,https://datastore.brussels/web/data/dataset/a6c9af56-d4f6-4544-98cc-78bc24385099,JSON,On occurence,,,,
f25399b9-61a0-433a-b542-48ef3e6ec8ef,Taxi,,,,Contains information on taxi- and hired cars with drivers in Belgium (companies),dataset,2021-03-23T21:12:31.638518,2021-03-23T21:13:34.807048,"http://publications.europa.eu/resource/authority/language/FRA, http://publications.europa.eu/resource/authority/language/ENG, http://publications.europa.eu/resource/authority/language/NLD",info@gtl-taxi.be,2021-03-23T21:54:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,47df5593-804c-4fd9-9079-50e7b454f1b9,gtl-taxi-be,47df5593-804c-4fd9-9079-50e7b454f1b9,other-nc,,N,http://www.gtl-taxi.be/4_0_0_0_0_NL_Bedrijvengids,XML,http://publications.europa.eu/resource/authority/frequency/MONTHLY,,,,
eb4072c8-9dad-4dde-872f-41f1be49369e,poppy-trips,,,,,dataset,2020-02-27T20:42:57.426472,2021-03-18T13:00:13.308616,http://publications.europa.eu/resource/authority/language/ENG,engineering@poppy.be,2020-02-27T21:40:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2",http://publications.europa.eu/resource/authority/data-theme/TRAN,a91b5609-0b3d-44dd-a10c-6883938f1df1,poppy,a91b5609-0b3d-44dd-a10c-6883938f1df1,other-closed,,Y,https://poppy.be,JSON,On occurence,,,,
059a6f97-bcc5-4982-8069-59242a088286,Velopark - all bicycle parkings in Belgium,"Velopark.be is een digitaal platform dat alle informatie over fietsenstallingen in België voor iedereen beschikbaar maakt. Alle nuttige gebruikersinfo staat centraal op één plek: www.velopark.be. 
Het platform is gebouwd via het principe van Linked Open Data, en alle gegevens publiek beschikbaar, zowel de vaste gegevens over fietsenstallingen als de dynamische gegevens (de bezetting, waar beschikbaar). De data kan opgevraagd worden door de linked open data catalogus te consulteren of via een gebruiksvriendelijke API.

De link op dit portaal verwijst naar de JSON-LD (Linked Data) catalogus. Als u echter niet vertrouwd bent met dit formaat, is er een 'basis'-API gemaakt: https://velopark.ilabt.imec.be/api/docs/ - als u bijvoorbeeld gegevens wilt over alle fietsenstallingen in België: https://velopark.ilabt.imec.be/rich-snippets-generator/api/1000

A script was created to to fetch Velopark's parkings of a certain region (NIS code) into a CSV file: https://github.com/julianrojas87/velopark-dump

The vocabulary can be found here: https://velopark.ilabt.imec.be/openvelopark/vocabulary
and on this Github repository: https://github.com/julianrojas87/openvelopark-vocabulary","Velopark.be est une plateforme numérique qui met à disposition de tous toutes les informations sur les parkings vélos en Belgique. Toutes les informations utiles aux utilisateurs sont centralisées en un seul endroit: www.velopark.be.
La plate-forme est construite sur le principe des données ouvertes liées, et toutes les données sont accessibles au public, à la fois les données fixes sur le stationnement des vélos et les données dynamiques (l'occupation, le cas échéant). Les données peuvent être demandées en consultant le catalogue de données ouvertes lié ou via une API conviviale.

L'ensemble de données mentionné est un lien vers le catalogue JSON-LD (Linked Data). Cependant, si vous n'êtes pas familiarisé avec ce format, une API `` basique '' a été créée: https://velopark.ilabt.imec.be/api/docs/ - par exemple, si vous voulez des données sur tous les parkings vélos dans Belgique: https://velopark.ilabt.imec.be/rich-snippets-generator/api/1000

A script was created to to fetch Velopark's parkings of a certain region (NIS code) into a CSV file: https://github.com/julianrojas87/velopark-dump

The vocabulary can be found here: https://velopark.ilabt.imec.be/openvelopark/vocabulary
and on this Github repository: https://github.com/julianrojas87/openvelopark-vocabulary","Velopark.be ist eine digitale Plattform, die alle Informationen über Fahrradabstellplätze in Belgien für jedermann verfügbar macht. Alle nützlichen Benutzerinformationen befinden sich zentral an einem Ort: www.velopark.be.
Die Plattform basiert auf dem Prinzip der verknüpften offenen Daten und alle Daten sind öffentlich verfügbar, sowohl feste Daten zu Fahrradabstellmöglichkeiten als auch dynamische Daten (die Belegung, sofern verfügbar). Die Daten können über den verknüpften offenen Datenkatalog oder über eine benutzerfreundliche API angefordert werden.

Der erwähnte Datensatz ist ein Link zum JSON-LD-Katalog (Linked Data). Wenn Sie jedoch nicht mit diesem Format vertraut sind, wurde eine ""grundlegende"" API erstellt: https://velopark.ilabt.imec.be/api/docs/ - zum Beispiel, wenn Sie Daten zu allen Fahrradparkplätzen in möchten Belgien: https://velopark.ilabt.imec.be/rich-snippets-generator/api/1000

A script was created to to fetch Velopark's parkings of a certain region (NIS code) into a CSV file: https://github.com/julianrojas87/velopark-dump

The vocabulary can be found here: https://velopark.ilabt.imec.be/openvelopark/vocabulary
and on this Github repository: https://github.com/julianrojas87/openvelopark-vocabulary","Velopark.be is a digital platform that makes all information about bicycle parking facilities in the whole of Belgium available to everyone. All useful user information is centrally located in one place: www.velopark.be.

The platform is built on the principle of Linked Open Data, and all data is publicly available, both the fixed data about bicycle parking and the dynamic data (the occupancy, where available). The data can be requested by consulting the linked open data catalog or via a user-friendly API.

The dataset mentioned is a link to the JSON-LD (Linked Data) catalog. However, if you are not familiar working with this format, a 'basic' API has been created: https://velopark.ilabt.imec.be/api/docs/ - for example, if you want data on all bicycle parkings in Belgium: https://velopark.ilabt.imec.be/rich-snippets-generator/api/1000
A script was created to to fetch Velopark's parkings of a certain region (NIS code) into a CSV file: https://github.com/julianrojas87/velopark-dump

The vocabulary can be found here: https://velopark.ilabt.imec.be/openvelopark/vocabulary
and on this Github repository: https://github.com/julianrojas87/openvelopark-vocabulary",dataset,2020-08-20T12:07:10.607309,2021-02-04T12:13:12.577823,http://publications.europa.eu/resource/authority/language/ENG,info@fietsberaad.be,2020-08-20T13:54:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,77a504ed-26b7-4344-a08f-82cf1a34e05b,fietsberaad-vlaanderen,77a504ed-26b7-4344-a08f-82cf1a34e05b,cc-zero,http://www.opendefinition.org/licenses/cc-zero,Y,"http://www.velopark.be, https://velopark.ilabt.imec.be/data/catalog",JSON,On occurence,"De structuur van Velopark is zo opgebouwd dat elke gemeente de stallingen op haar grondgebied opvolgt, en waakt over de kwaliteit. Elke gemeente kan zelf stallingen toevoegen, stallingen die derden toevoegden valideren en publiceren, en informatie aanpassen of verwijderen. Dit betekent dat de informatie afhankelijk is van de gemeente, maar over het algemeen van zeer hoge kwaliteit.","Velopark est structurée de manière à ce que chaque commune surveille les parkings de son territoire et en contrôle la qualité. Chaque commune peut ajouter elle-même des parkings, valider et publier des parkings ajoutés par des tiers, et modifier ou supprimer des informations. Cela signifie que les informations dépendent de la commune, mais sont généralement de très bonne qualité.","Die Struktur des Veloparks ist so konzipiert, dass jede Gemeinde die Parkmöglichkeiten auf ihrem Territorium und die Qualität überwacht. Jede Gemeinde kann selbst Parkmöglichkeiten hinzufügen, von Dritten hinzugefügte Parkmöglichkeiten validieren und veröffentlichen sowie Informationen ändern oder löschen. Dies bedeutet, dass die Informationen von der Gemeinde abhängen, aber im Allgemeinen von sehr hoher Qualität sind.","Velopark is structured in such a way that every municipality monitors the parking facilities on its territory and monitors the quality. Each municipality can add parking facilities itself, validate and publish parking facilities added by third parties, and modify or delete information. This means that the information depends on the municipality, but is generally of very high quality."
6426e2c5-20f9-4118-aee9-4d571670c663,GBFS Data,,,,"Bird makes system data owned by Bird conforming to the General Bikeshare Feed Specification (GBFS) available on request, subject to the terms and conditions of a GBFS data license agreement - https://www.bird.co/gbfs-data-license-agreement/",dataset,2021-01-08T09:27:44.167871,2021-01-08T09:36:02.492527,http://publications.europa.eu/resource/authority/language/ENG,hallo@bird.co,2021-01-08T10:16:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2",http://publications.europa.eu/resource/authority/data-theme/TRAN,60d2bbf6-1dd9-49d5-b1f9-34977812e683,bird,60d2bbf6-1dd9-49d5-b1f9-34977812e683,notspecified,,Y,https://www.bird.co/gbfs-data-license-agreement/,JSON,On occurence,,,,
4d7de66c-8847-4940-807b-c1c85aa78dad,SNCB Basic common standard fares,"URL : Transport Ticket Prices : https://www.belgiantrain.be/en/support/terms-and-conditions-for-transport 
Updated at least 1x per year in February
","URL : Transport Ticket Prices : https://www.belgiantrain.be/en/support/terms-and-conditions-for-transport 
Updated at least 1x per year in February
","URL : Transport Ticket Prices : https://www.belgiantrain.be/en/support/terms-and-conditions-for-transport 
Updated at least 1x per year in February
","URL : Transport Ticket Prices : https://www.belgiantrain.be/en/support/terms-and-conditions-for-transport 
Updated at least 1x per year in February
",dataset,2020-09-10T07:38:38.665297,2021-01-08T09:23:26.508745,http://publications.europa.eu/resource/authority/language/ENG,arnaud.wattiez@b-rail.be,2020-09-10T09:36:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,2a624b63-e4c3-4a68-a44a-3a2714ed6d2f,sncb,2a624b63-e4c3-4a68-a44a-3a2714ed6d2f,notspecified,,N,https://www.belgiantrain.be/en/support/terms-and-conditions-for-transport,Other,http://publications.europa.eu/resource/authority/frequency/ANNUAL,,,,
caf44d1e-d6f5-4b87-9d88-36e748f1b334,CNG/LNG stations,Bevat statische info over (bio) CNG en (bio)LNG station in België.,Contient des informations statiques sur les stations (bio)CNG et (bio)LNG en Belgique,,Contains static information about the (bio) CNG and (bio) LNG stations in Belgium.,dataset,2020-11-24T14:06:41.801802,2020-12-21T08:57:34.764796,http://publications.europa.eu/resource/authority/language/ENG,didier.hendrickx@gas.be,2020-11-24T14:49:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,a0b6cba2-3d9f-4813-864f-6ba45c7e0690,gas-be,a0b6cba2-3d9f-4813-864f-6ba45c7e0690,notspecified,,Y,https://www.transportdata.be/en/dataset/caf44d1e-d6f5-4b87-9d88-36e748f1b334/resource/783d8a77-cd07-4f08-a596-0e9d91805474/download/dacs-global-file-nov.csv,CSV,http://publications.europa.eu/resource/authority/frequency/QUARTERLY,,,,
efbbac67-2219-4ae4-b419-bcfd990f9a08,Ponctualité dans les grandes gares par mois - Stiptheid in grote stations per maand - Monthly punctuality in major stations,"Maandelijks percentage van alle binnenlandse reizigerstreinen die met een vertraging van maximaal 5 minuten en 59 seconden aangekomen zijn in het station (enkel voor stations die ten minste zes technische meetpunten verwijderd zijn van een ander vertrekstation).

https://opendata.infrabel.be/explore/dataset/stiptheid-in-grote-stations-per-maand/information/","Pourcentage mensuel des trains voyageurs nationaux qui sont arrivés avec un retard de maximum 5 minutes et 59 secondes à la gare en question (comprend seulement les gares qui sont éloignées de minimum 6 points de mesure techniques d'une autre gare de départ).

https://opendata.infrabel.be/explore/dataset/stiptheid-in-grote-stations-per-maand/information/",,"Monthly proportion of passenger trains arriving with a maximum delay of 5 minutes and 59 seconds in each major station (only for stations that are a least 6 technical measuring points apart from a departure station)

https://opendata.infrabel.be/explore/dataset/stiptheid-in-grote-stations-per-maand/information/",dataset,2020-03-12T13:09:44.631302,2020-12-08T08:34:55.356921,"http://publications.europa.eu/resource/authority/language/FRA, http://publications.europa.eu/resource/authority/language/ENG, http://publications.europa.eu/resource/authority/language/NLD",opendata@infrabel.be,2017-01-01T12:00:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,fe150c96-ce8b-4c91-adfd-cbaaff49a664,infrabel,fe150c96-ce8b-4c91-adfd-cbaaff49a664,cc-zero,http://www.opendefinition.org/licenses/cc-zero,Y,,,http://publications.europa.eu/resource/authority/frequency/MONTHLY,,,,
64ceea35-97ec-40ca-986b-73e4b34e4c78,Ponctualité par type de train et par moment - Stiptheid per type trein en per moment - Monthly national punctuality per train type and moment,"Maandelijkse stiptheid per type trein (IC, S, P, L) en per moment (ochtend- en avondspits, daluren en weekend).

Het stiptheidspercentage geeft aan hoeveel procent van alle binnenlandse treinen, over een periode van een maand, met een vertraging van maximaal 5 minuten en 59 seconden, aangekomen zijn in hun eindbestemmingsstation. Voor de treinen die door de Brusselse Noord-Zuid verbinding rijden, geldt het eerste station van de verbinding dat zij op hun reisweg aandoen.

https://opendata.infrabel.be/explore/dataset/stiptheid-per-type-trein-en-per-moment/information/","Ponctualité mensuelle par type de train (IC, S, P, L) et par moment (heures de pointes, heures creuses, weekends).

Le pourcentage de ponctualité représente le pourcentage de trains qui, pendant le mois, sont arrivés avec un retard maximum de 5 minutes et 59 secondes, à leur gare de destination et -pour les trains qui traversent la jonction Nord-Midi bruxelloise, dans la première gare de la jonction qu'ils rencontrent sur leur trajet.

https://opendata.infrabel.be/explore/dataset/stiptheid-per-type-trein-en-per-moment/information/",,"Monthly punctuality per train type (L, S, P, IC) and per moment of the day (peak hours, off-peak hours, weekend).

The punctuality metric represents the monthly proportion of trains that arrived with a maximum delay of 5 minutes and 59 seconds at their destination or - for the trains travelling through Brussel's North-South junction, upon arrival at the first station of the junction on their path.

https://opendata.infrabel.be/explore/dataset/stiptheid-per-type-trein-en-per-moment/information/",dataset,2020-03-12T13:57:22.311532,2020-12-08T08:34:42.139292,"http://publications.europa.eu/resource/authority/language/FRA, http://publications.europa.eu/resource/authority/language/ENG, http://publications.europa.eu/resource/authority/language/NLD",opendata@infrabel.be,2016-01-01T12:00:00,"http://data.europa.eu/nuts/code/BE1, http://data.europa.eu/nuts/code/BE2, http://data.europa.eu/nuts/code/BE3",http://publications.europa.eu/resource/authority/data-theme/TRAN,fe150c96-ce8b-4c91-adfd-cbaaff49a664,infrabel,fe150c96-ce8b-4c91-adfd-cbaaff49a664,cc-zero,http://www.opendefinition.org/licenses/cc-zero,Y,,,http://publications.europa.eu/resource/authority/frequency/MONTHLY,,,,
